City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
189,Adre,TD,13.4667,22.2,73.72,82,100,11.52,heavy intensity rain
190,Tasiilaq,GL,65.6145,-37.6368,44.76,78,100,18.1,light rain
191,Leh,IN,34.1667,77.5833,57.85,63,81,5.73,broken clouds
192,Kingston,JM,17.997,-76.7936,90.25,65,40,17.27,scattered clouds
193,Sault Sainte Marie,CA,46.5168,-84.3333,72.16,52,0,8.05,clear sky
194,Cayenne,GF,4.9333,-52.3333,77.09,1,75,3.44,heavy intensity rain
195,Clocolan,ZA,-28.9137,27.5656,45.91,41,0,2.53,clear sky
196,Juneau,US,58.3019,-134.4197,61.11,99,75,4.61,broken clouds
197,Inhambane,MZ,-23.865,35.3833,67.98,77,40,8.05,scattered clouds
198,Port Hedland,AU,-20.3167,118.5667,53.65,71,6,8.05,clear sky
199,Maridi,SS,4.9158,29.4742,67.84,96,52,2.71,broken clouds
200,Aklavik,CA,68.2191,-135.0107,50.0,71,75,2.3,broken clouds
201,Cabatuan,PH,10.8794,122.486,76.32,91,99,0.98,overcast clouds
202,Saint-Pierre,RE,-21.3393,55.4781,68.92,77,20,6.91,few clouds
203,Pevek,RU,69.7008,170.3133,36.99,70,100,2.91,overcast clouds
204,Guerrero Negro,MX,27.9769,-114.0611,76.64,58,13,14.88,few clouds
205,Pangnirtung,CA,66.1451,-65.7125,57.2,58,40,5.75,scattered clouds
206,Kualakapuas,ID,-3.0091,114.3876,75.31,89,100,2.39,overcast clouds
207,Igarka,RU,67.4667,86.5833,52.72,72,78,8.7,broken clouds
208,Salekhard,RU,66.53,66.6019,63.61,61,100,5.86,overcast clouds
209,Ribeira Grande,PT,38.5167,-28.7,77.4,65,20,16.11,few clouds
210,Dunedin,NZ,-45.8742,170.5036,42.8,67,8,14.0,clear sky
211,Itarema,BR,-2.9248,-39.9167,82.62,65,90,15.26,overcast clouds
212,Manzanillo,CU,20.3433,-77.1167,87.3,58,100,3.11,overcast clouds
213,Takoradi,GH,4.8845,-1.7554,75.87,87,79,11.52,broken clouds
214,Tumpat,MY,6.1978,102.171,78.78,88,20,3.44,few clouds
215,Mecca,SA,21.4267,39.8261,93.51,24,100,6.6,overcast clouds
216,Camana,PE,-16.6228,-72.7111,63.23,73,42,10.94,scattered clouds
217,Peleduy,RU,59.6289,112.7406,60.31,98,100,6.93,moderate rain
218,La Union,PE,-5.4,-80.75,80.47,42,0,14.52,clear sky
219,Kununurra,AU,-15.7667,128.7333,58.98,44,31,5.75,scattered clouds
220,Bathsheba,BB,13.2167,-59.5167,88.41,84,40,24.16,scattered clouds
221,Rybnaya Sloboda,RU,55.4613,50.1409,62.28,93,49,12.88,scattered clouds
222,Carolina,PR,18.3808,-65.9574,90.72,76,40,16.11,scattered clouds
223,Otradnoye,RU,59.7775,30.8181,60.85,92,41,4.92,scattered clouds
224,Korla,CN,41.7597,86.1469,80.06,34,100,13.69,overcast clouds
225,Vila Velha,BR,-20.3297,-40.2925,80.55,76,20,11.5,few clouds
226,Tra Vinh,VN,9.9347,106.3453,75.83,95,100,4.76,overcast clouds
227,Turbat,PK,26.0023,63.044,87.55,67,100,2.26,overcast clouds
228,Laguna,US,38.421,-121.4238,93.94,44,0,5.75,clear sky
229,Sur,OM,22.5667,59.5289,89.49,63,100,6.76,overcast clouds
230,Corpus Christi,US,27.8006,-97.3964,91.4,66,75,25.32,broken clouds
231,Bubanza,BI,-3.1167,29.4,70.86,65,33,3.31,scattered clouds
232,Jacaleapa,HN,14.0167,-86.6667,83.88,46,56,9.75,broken clouds
233,Oksfjord,NO,70.2396,22.3479,60.87,76,100,6.02,overcast clouds
234,Kamenka,RU,51.3223,42.7678,64.87,64,0,6.6,clear sky
235,Noumea,NC,-22.2763,166.4572,68.0,99,74,13.76,broken clouds
236,Mutis,CO,6.2262,-77.4044,80.37,81,43,5.19,scattered clouds
237,Bilibino,RU,68.0546,166.4372,56.62,53,100,4.12,overcast clouds
238,Krasnyy Chikoy,RU,50.3643,108.7512,57.31,86,100,3.76,light rain
239,Abeche,TD,13.8292,20.8324,81.75,64,86,6.4,light rain
240,Xichang,CN,27.8964,102.2634,69.71,75,100,0.87,overcast clouds
241,Bowen,AU,-20.0167,148.2333,64.63,80,87,15.88,overcast clouds
242,Richmond Hill,CA,43.8711,-79.4372,82.67,42,98,4.16,overcast clouds
243,Sakakah,SA,29.9697,40.2064,96.37,16,0,9.13,clear sky
244,Alugan,PH,12.2188,125.4808,78.13,87,11,4.27,few clouds
245,Ngunguru,NZ,-35.6167,174.5,51.96,80,70,9.1,broken clouds
246,Fortuna,US,40.5982,-124.1573,68.94,72,20,5.01,few clouds
